Basics:
Snow-Covered Forest | ['Forest'] | ({T}: Add {G}.)
Deathcap Glade | [] | This land enters tapped unless you control two or more other lands. {T}: Add {B} or {G}.
Deserted Beach | [] | This land enters tapped unless you control two or more other lands. {T}: Add {W} or {U}.
Dreamroot Cascade | [] | This land enters tapped unless you control two or more other lands. {T}: Add {G} or {U}.
Haunted Ridge | [] | This land enters tapped unless you control two or more other lands. {T}: Add {B} or {R}.
Inspiring Vantage | [] | This land enters tapped unless you control two or fewer other lands. {T}: Add {R} or {W}.
Overgrown Farmland | [] | This land enters tapped unless you control two or more other lands. {T}: Add {G} or {W}.
Prairie Stream | ['Plains', 'Island'] | ({T}: Add {W} or {U}.) This land enters tapped unless you control two or more basic lands.
Razorverge Thicket | [] | This land enters tapped unless you control two or fewer other lands. {T}: Add {G} or {W}.
Rockfall Vale | [] | This land enters tapped unless you control two or more other lands. {T}: Add {R} or {G}.
Seachrome Coast | [] | This land enters tapped unless you control two or fewer other lands. {T}: Add {W} or {U}.
Shattered Sanctum | [] | This land enters tapped unless you control two or more other lands. {T}: Add {W} or {B}.
Shipwreck Marsh | [] | This land enters tapped unless you control two or more other lands. {T}: Add {U} or {B}.
Smoldering Marsh | ['Swamp', 'Mountain'] | ({T}: Add {B} or {R}.) This land enters tapped unless you control two or more basic lands.
Spirebluff Canal | [] | This land enters tapped unless you control two or fewer other lands. {T}: Add {U} or {R}.
Stormcarved Coast | [] | This land enters tapped unless you control two or more other lands. {T}: Add {U} or {R}.
Sundown Pass | [] | This land enters tapped unless you control two or more other lands. {T}: Add {R} or {W}.
Sunken Hollow | ['Island', 'Swamp'] | ({T}: Add {U} or {B}.) This land enters tapped unless you control two or more basic lands.

Bounce lands:
Azorius Chancery | [] | This land enters tapped. When this land enters, return a land you control to its owner's hand. {T}: Add {W}{U}.
Boros Garrison | [] | This land enters tapped. When this land enters, return a land you control to its owner's hand. {T}: Add {R}{W}.
Dimir Aqueduct | [] | This land enters tapped. When this land enters, return a land you control to its owner's hand. {T}: Add {U}{B}.
Golgari Rot Farm | [] | This land enters tapped. When this land enters, return a land you control to its owner's hand. {T}: Add {B}{G}.
Gruul Turf | [] | This land enters tapped. When this land enters, return a land you control to its owner's hand. {T}: Add {R}{G}.
Guildless Commons | [] | This land enters tapped. When this land enters, return a land you control to its owner's hand. {T}: Add {C}{C}.
Izzet Boilerworks | [] | This land enters tapped. When this land enters, return a land you control to its owner's hand. {T}: Add {U}{R}.
Orzhov Basilica | [] | This land enters tapped. When this land enters, return a land you control to its owner's hand. {T}: Add {W}{B}.
Rakdos Carnarium | [] | This land enters tapped. When this land enters, return a land you control to its owner's hand. {T}: Add {B}{R}.
Selesnya Sanctuary | [] | This land enters tapped. When this land enters, return a land you control to its owner's hand. {T}: Add {G}{W}.
Simic Growth Chamber | [] | This land enters tapped. When this land enters, return a land you control to its owner's hand. {T}: Add {G}{U}.

Pain lands:
Adarkar Wastes | [] | {T}: Add {C}. {T}: Add {W} or {U}. This land deals 1 damage to you.
Battlefield Forge | [] | {T}: Add {C}. {T}: Add {R} or {W}. This land deals 1 damage to you.
Brushland | [] | {T}: Add {C}. {T}: Add {G} or {W}. This land deals 1 damage to you.
Caves of Koilos | [] | {T}: Add {C}. {T}: Add {W} or {B}. This land deals 1 damage to you.
Karplusan Forest | [] | {T}: Add {C}. {T}: Add {R} or {G}. This land deals 1 damage to you.
Llanowar Wastes | [] | {T}: Add {C}. {T}: Add {B} or {G}. This land deals 1 damage to you.
Shivan Reef | [] | {T}: Add {C}. {T}: Add {U} or {R}. This land deals 1 damage to you.
Sulfurous Springs | [] | {T}: Add {C}. {T}: Add {B} or {R}. This land deals 1 damage to you.
Underground River | [] | {T}: Add {C}. {T}: Add {U} or {B}. This land deals 1 damage to you.
Yavimaya Coast | [] | {T}: Add {C}. {T}: Add {G} or {U}. This land deals 1 damage to you.

Unlucky Lands:
Abandoned Campground | [] | This land enters tapped unless a player has 13 or less life. {T}: Add {W} or {U}.
Bleeding Woods | [] | This land enters tapped unless a player has 13 or less life. {T}: Add {R} or {G}.
Etched Cornfield | [] | This land enters tapped unless a player has 13 or less life. {T}: Add {G} or {W}.
Lakeside Shack | [] | This land enters tapped unless a player has 13 or less life. {T}: Add {G} or {U}.
Murky Sewer | [] | This land enters tapped unless a player has 13 or less life. {T}: Add {U} or {B}.
Neglected Manor | [] | This land enters tapped unless a player has 13 or less life. {T}: Add {W} or {B}.
Peculiar Lighthouse | [] | This land enters tapped unless a player has 13 or less life. {T}: Add {U} or {R}.
Raucous Carnival | [] | This land enters tapped unless a player has 13 or less life. {T}: Add {R} or {W}.
Razortrap Gorge | [] | This land enters tapped unless a player has 13 or less life. {T}: Add {B} or {R}.
Strangled Cemetery | [] | This land enters tapped unless a player has 13 or less life. {T}: Add {B} or {G}.


Sac Tap Lands:
Abandoned Outpost | [] | This land enters tapped. {T}: Add {W}. {T}, Sacrifice this land: Add one mana of any color.
Bog Wreckage | [] | This land enters tapped. {T}: Add {B}. {T}, Sacrifice this land: Add one mana of any color.
Ravaged Highlands | [] | This land enters tapped. {T}: Add {R}. {T}, Sacrifice this land: Add one mana of any color.
Seafloor Debris | [] | This land enters tapped. {T}: Add {U}. {T}, Sacrifice this land: Add one mana of any color.
Timberland Ruins | [] | This land enters tapped. {T}: Add {G}. {T}, Sacrifice this land: Add one mana of any color.

Another type of sac tap land:
Ancient Spring | [] | This land enters tapped. {T}: Add {U}. {T}, Sacrifice this land: Add {W}{B}.
Dwarven Ruins | [] | This land enters tapped. {T}: Add {R}. {T}, Sacrifice this land: Add {R}{R}.
Ebon Stronghold | [] | This land enters tapped. {T}: Add {B}. {T}, Sacrifice this land: Add {B}{B}.
Geothermal Crevice | [] | This land enters tapped. {T}: Add {R}. {T}, Sacrifice this land: Add {B}{G}.
Havenwood Battleground | [] | This land enters tapped. {T}: Add {G}. {T}, Sacrifice this land: Add {G}{G}.
Irrigation Ditch | [] | This land enters tapped. {T}: Add {W}. {T}, Sacrifice this land: Add {G}{U}.
Ruins of Trokair | [] | This land enters tapped. {T}: Add {W}. {T}, Sacrifice this land: Add {W}{W}.
Sulfur Vent | [] | This land enters tapped. {T}: Add {B}. {T}, Sacrifice this land: Add {U}{R}.
Svyelunite Temple | [] | This land enters tapped. {T}: Add {U}. {T}, Sacrifice this land: Add {U}{U}.
Tinder Farm | [] | This land enters tapped. {T}: Add {G}. {T}, Sacrifice this land: Add {R}{W}.

HomeLands:
An-Havva Township | [] | {T}: Add {C}. {1}, {T}: Add {G}. {2}, {T}: Add {R} or {W}.
Aysen Abbey | [] | {T}: Add {C}. {1}, {T}: Add {W}. {2}, {T}: Add {G} or {U}.
Castle Sengir | [] | {T}: Add {C}. {1}, {T}: Add {B}. {2}, {T}: Add {U} or {R}.
Koskun Keep | [] | {T}: Add {C}. {1}, {T}: Add {R}. {2}, {T}: Add {B} or {G}.
Wizards' School | [] | {T}: Add {C}. {1}, {T}: Add {U}. {2}, {T}: Add {W} or {B}.

The other bouncelands:
Dormant Volcano | [] | This land enters tapped. When this land enters, sacrifice it unless you return an untapped Mountain you control to its owner's hand. {T}: Add {C}{R}.
Everglades | [] | This land enters tapped. When this land enters, sacrifice it unless you return an untapped Swamp you control to its owner's hand. {T}: Add {C}{B}.
Jungle Basin | [] | This land enters tapped. When this land enters, sacrifice it unless you return an untapped Forest you control to its owner's hand. {T}: Add {C}{G}.
Karoo | [] | This land enters tapped. When this land enters, sacrifice it unless you return an untapped Plains you control to its owner's hand. {T}: Add {C}{W}.
Coral Atoll | [] | This land enters tapped. When this land enters, sacrifice it unless you return an untapped Island you control to its owner's hand. {T}: Add {C}{U}.

Two type taplands (some are snow):
Alpine Meadow | ['Mountain', 'Plains'] | ({T}: Add {R} or {W}.) This land enters tapped.
Arctic Treeline | ['Forest', 'Plains'] | ({T}: Add {G} or {W}.) This land enters tapped.
Contaminated Aquifer | ['Island', 'Swamp'] | ({T}: Add {U} or {B}.) This land enters tapped.
Geothermal Bog | ['Swamp', 'Mountain'] | ({T}: Add {B} or {R}.) This land enters tapped.
Glacial Floodplain | ['Plains', 'Island'] | ({T}: Add {W} or {U}.) This land enters tapped.
Haunted Mire | ['Swamp', 'Forest'] | ({T}: Add {B} or {G}.) This land enters tapped.
Highland Forest | ['Mountain', 'Forest'] | ({T}: Add {R} or {G}.) This land enters tapped.
Ice Tunnel | ['Island', 'Swamp'] | ({T}: Add {U} or {B}.) This land enters tapped.
Idyllic Beachfront | ['Plains', 'Island'] | ({T}: Add {W} or {U}.) This land enters tapped.
Molten Tributary | ['Island', 'Mountain'] | ({T}: Add {U} or {R}.) This land enters tapped.
Radiant Grove | ['Forest', 'Plains'] | ({T}: Add {G} or {W}.) This land enters tapped.
Rimewood Falls | ['Forest', 'Island'] | ({T}: Add {G} or {U}.) This land enters tapped.
Sacred Peaks | ['Mountain', 'Plains'] | ({T}: Add {R} or {W}.) This land enters tapped.
Snowfield Sinkhole | ['Plains', 'Swamp'] | ({T}: Add {W} or {B}.) This land enters tapped.
Sulfurous Mire | ['Swamp', 'Mountain'] | ({T}: Add {B} or {R}.) This land enters tapped.
Sunlit Marsh | ['Plains', 'Swamp'] | ({T}: Add {W} or {B}.) This land enters tapped.
Tangled Islet | ['Forest', 'Island'] | ({T}: Add {G} or {U}.) This land enters tapped.
Volatile Fjord | ['Island', 'Mountain'] | ({T}: Add {U} or {R}.) This land enters tapped.
Wooded Ridgeline | ['Mountain', 'Forest'] | ({T}: Add {R} or {G}.) This land enters tapped.
Woodland Chasm | ['Swamp', 'Forest'] | ({T}: Add {B} or {G}.) This land enters tapped.

Surveil lands:
Commercial District | ['Mountain', 'Forest'] | ({T}: Add {R} or {G}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Elegant Parlor | ['Mountain', 'Plains'] | ({T}: Add {R} or {W}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Hedge Maze | ['Forest', 'Island'] | ({T}: Add {G} or {U}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Lush Portico | ['Forest', 'Plains'] | ({T}: Add {G} or {W}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Meticulous Archive | ['Plains', 'Island'] | ({T}: Add {W} or {U}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Raucous Theater | ['Swamp', 'Mountain'] | ({T}: Add {B} or {R}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Shadowy Backstreet | ['Plains', 'Swamp'] | ({T}: Add {W} or {B}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Thundering Falls | ['Island', 'Mountain'] | ({T}: Add {U} or {R}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Undercity Sewers | ['Island', 'Swamp'] | ({T}: Add {U} or {B}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Underground Mortuary | ['Swamp', 'Forest'] | ({T}: Add {B} or {G}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)

Above but with cycling:
Canyon Slough | ['Swamp', 'Mountain'] | ({T}: Add {B} or {R}.) This land enters tapped. Cycling {2} ({2}, Discard this card: Draw a card.)
Fetid Pools | ['Island', 'Swamp'] | ({T}: Add {U} or {B}.) This land enters tapped. Cycling {2} ({2}, Discard this card: Draw a card.)
Irrigated Farmland | ['Plains', 'Island'] | ({T}: Add {W} or {U}.) This land enters tapped. Cycling {2} ({2}, Discard this card: Draw a card.)
