Basics:
Snow-Covered Forest | ['Forest'] | ({T}: Add {G}.)
Thalakos Lowlands | [] | {T}: Add {C}. {T}: Add {W} or {U}. This land doesn't untap during your next untap step.
Tranquil Garden | [] | {T}: Add {C}. {T}: Add {G} or {W}. This land doesn't untap during your next untap step.
Vec Townships | [] | {T}: Add {C}. {T}: Add {G} or {W}. This land doesn't untap during your next untap step.
Waterveil Cavern | [] | {T}: Add {C}. {T}: Add {U} or {B}. This land doesn't untap during your next untap step.

Informal Exert lands:
Veldt | [] | This land doesn't untap during your untap step if it has a depletion counter on it. At the beginning of your upkeep, remove a depletion counter from this land. {T}: Add {G} or {W}. Put a depletion counter on this land.
Land Cap | [] | This land doesn't untap during your untap step if it has a depletion counter on it. At the beginning of your upkeep, remove a depletion counter from this land. {T}: Add {W} or {U}. Put a depletion counter on this land.
Lava Tubes | [] | This land doesn't untap during your untap step if it has a depletion counter on it. At the beginning of your upkeep, remove a depletion counter from this land. {T}: Add {B} or {R}. Put a depletion counter on this land.
River Delta | [] | This land doesn't untap during your untap step if it has a depletion counter on it. At the beginning of your upkeep, remove a depletion counter from this land. {T}: Add {U} or {B}. Put a depletion counter on this land.
Timberline Ridge | [] | This land doesn't untap during your untap step if it has a depletion counter on it. At the beginning of your upkeep, remove a depletion counter from this land. {T}: Add {R} or {G}. Put a depletion counter on this land.

Misc:
Nimbus Maze | [] | {T}: Add {C}. {T}: Add {W}. Activate only if you control an Island. {T}: Add {U}. Activate only if you control a Plains.
Mount Doom | [] | {T}, Pay 1 life: Add {B} or {R}. {1}{B}{R}, {T}: Mount Doom deals 1 damage to each opponent. {5}{B}{R}, {T}, Sacrifice Mount Doom and a legendary artifact: Choose up to two creatures, then destroy the rest. Activate only as a sorcery.
