Two type taplands (some are snow):
Alpine Meadow | ['Mountain', 'Plains'] | ({T}: Add {R} or {W}.) This land enters tapped.
Jetmir's Garden | ['Mountain', 'Forest', 'Plains'] | ({T}: Add {R}, {G}, or {W}.) This land enters tapped. Cycling {3} ({3}, Discard this card: Draw a card.)
Ketria Triome | ['Forest', 'Island', 'Mountain'] | ({T}: Add {G}, {U}, or {R}.) This land enters tapped. Cycling {3} ({3}, Discard this card: Draw a card.)
Raffine's Tower | ['Plains', 'Island', 'Swamp'] | ({T}: Add {W}, {U}, or {B}.) This land enters tapped. Cycling {3} ({3}, Discard this card: Draw a card.)
Raugrin Triome | ['Island', 'Mountain', 'Plains'] | ({T}: Add {U}, {R}, or {W}.) This land enters tapped. Cycling {3} ({3}, Discard this card: Draw a card.)
Savai Triome | ['Mountain', 'Plains', 'Swamp'] | ({T}: Add {R}, {W}, or {B}.) This land enters tapped. Cycling {3} ({3}, Discard this card: Draw a card.)
Spara's Headquarters | ['Forest', 'Plains', 'Island'] | ({T}: Add {G}, {W}, or {U}.) This land enters tapped. Cycling {3} ({3}, Discard this card: Draw a card.)
Xander's Lounge | ['Island', 'Swamp', 'Mountain'] | ({T}: Add {U}, {B}, or {R}.) This land enters tapped. Cycling {3} ({3}, Discard this card: Draw a card.)
Zagoth Triome | ['Swamp', 'Forest', 'Island'] | ({T}: Add {B}, {G}, or {U}.) This land enters tapped. Cycling {3} ({3}, Discard this card: Draw a card.)
Ziatora's Proving Ground | ['Swamp', 'Mountain', 'Forest'] | ({T}: Add {B}, {R}, or {G}.) This land enters tapped. Cycling {3} ({3}, Discard this card: Draw a card.)

Surveil lands:
Commercial District | ['Mountain', 'Forest'] | ({T}: Add {R} or {G}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Elegant Parlor | ['Mountain', 'Plains'] | ({T}: Add {R} or {W}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Hedge Maze | ['Forest', 'Island'] | ({T}: Add {G} or {U}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Lush Portico | ['Forest', 'Plains'] | ({T}: Add {G} or {W}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Meticulous Archive | ['Plains', 'Island'] | ({T}: Add {W} or {U}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Raucous Theater | ['Swamp', 'Mountain'] | ({T}: Add {B} or {R}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Shadowy Backstreet | ['Plains', 'Swamp'] | ({T}: Add {W} or {B}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Thundering Falls | ['Island', 'Mountain'] | ({T}: Add {U} or {R}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Undercity Sewers | ['Island', 'Swamp'] | ({T}: Add {U} or {B}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Underground Mortuary | ['Swamp', 'Forest'] | ({T}: Add {B} or {G}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)

Cycling:
Canyon Slough | ['Swamp', 'Mountain'] | ({T}: Add {B} or {R}.) This land enters tapped. Cycling {2} ({2}, Discard this card: Draw a card.)
Fetid Pools | ['Island', 'Swamp'] | ({T}: Add {U} or {B}.) This land enters tapped. Cycling {2} ({2}, Discard this card: Draw a card.)
Irrigated Farmland | ['Plains', 'Island'] | ({T}: Add {W} or {U}.) This land enters tapped. Cycling {2} ({2}, Discard this card: Draw a card.)
Scattered Groves | ['Forest', 'Plains'] | ({T}: Add {G} or {W}.) This land enters tapped. Cycling {2} ({2}, Discard this card: Draw a card.)
Sheltered Thicket | ['Mountain', 'Forest'] | ({T}: Add {R} or {G}.) This land enters tapped. Cycling {2} ({2}, Discard this card: Draw a card.)
