Artifact Lands:
Ancient Den | [] | {T}: Add {W}.
Axgard Armory | [] | This land enters tapped. {T}: Add {W}. {1}{R}{R}{W}, {T}, Sacrifice this land: Search your library for an Aura card and/or an Equipment card, reveal them, put them into your hand, then shuffle.
Barren Moor | [] | This land enters tapped. {T}: Add {B}. Cycling {B} ({B}, Discard this card: Draw a card.)
Bretagard Stronghold | [] | This land enters tapped. {T}: Add {G}. {G}{W}{W}, {T}, Sacrifice this land: Put a +1/+1 counter on each of up to two target creatures you control. They gain vigilance and lifelink until end of turn. Activate only as a sorcery.
Dakmor Salvage | [] | This land enters tapped. {T}: Add {B}. Dredge 2 (If you would draw a card, you may mill two cards instead. If you do, return this card from your graveyard to your hand.)
Desert of the Fervent | ['Desert'] | This land enters tapped. {T}: Add {R}. Cycling {1}{R} ({1}{R}, Discard this card: Draw a card.)
Desert of the Glorified | ['Desert'] | This land enters tapped. {T}: Add {B}. Cycling {1}{B} ({1}{B}, Discard this card: Draw a card.)
Desert of the Indomitable | ['Desert'] | This land enters tapped. {T}: Add {G}. Cycling {1}{G} ({1}{G}, Discard this card: Draw a card.)
Desert of the Mindful | ['Desert'] | This land enters tapped. {T}: Add {U}. Cycling {1}{U} ({1}{U}, Discard this card: Draw a card.)
Desert of the True | ['Desert'] | This land enters tapped. {T}: Add {W}. Cycling {1}{W} ({1}{W}, Discard this card: Draw a card.)
Drifting Meadow | [] | This land enters tapped. {T}: Add {W}. Cycling {2} ({2}, Discard this card: Draw a card.)
Faerie Conclave | [] | This land enters tapped. {T}: Add {U}. {1}{U}: This land becomes a 2/1 blue Faerie creature with flying until end of turn. It's still a land.
Forgotten Cave | [] | This land enters tapped. {T}: Add {R}. Cycling {R} ({R}, Discard this card: Draw a card.)
Gates of Istfell | [] | This land enters tapped. {T}: Add {W}. {2}{W}{U}{U}, {T}, Sacrifice this land: You gain 2 life and draw two cards.
Ghitu Encampment | [] | This land enters tapped. {T}: Add {R}. {1}{R}: This land becomes a 2/1 red Warrior creature with first strike until end of turn. It's still a land. (It deals combat damage before creatures without first strike.)
Gnottvold Slumbermound | [] | This land enters tapped. {T}: Add {R}. {3}{R}{G}{G}, {T}, Sacrifice this land: Destroy target land. Create a 4/4 green Troll Warrior creature token with trample.
Great Hall of Starnheim | [] | This land enters tapped. {T}: Add {B}. {W}{W}{B}, {T}, Sacrifice this land and a creature you control: Create a 4/4 white Angel Warrior creature token with flying and vigilance. Activate only as a sorcery.
Hidden Cataract | ['Cave'] | This land enters tapped. {T}: Add {U}. {4}{U}, {T}, Sacrifice this land: Discover 4. Activate only as a sorcery. (Exile cards from the top of your library until you exile a nonland card with mana value 4 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)
Hidden Courtyard | ['Cave'] | This land enters tapped. {T}: Add {W}. {4}{W}, {T}, Sacrifice this land: Discover 4. Activate only as a sorcery. (Exile cards from the top of your library until you exile a nonland card with mana value 4 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)
Hidden Necropolis | ['Cave'] | This land enters tapped. {T}: Add {B}. {4}{B}, {T}, Sacrifice this land: Discover 4. Activate only as a sorcery. (Exile cards from the top of your library until you exile a nonland card with mana value 4 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)
Hidden Nursery | ['Cave'] | This land enters tapped. {T}: Add {G}. {4}{G}, {T}, Sacrifice this land: Discover 4. Activate only as a sorcery. (Exile cards from the top of your library until you exile a nonland card with mana value 4 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)
Hidden Volcano | ['Cave'] | This land enters tapped. {T}: Add {R}. {4}{R}, {T}, Sacrifice this land: Discover 4. Activate only as a sorcery. (Exile cards from the top of your library until you exile a nonland card with mana value 4 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)
Immersturm Skullcairn | [] | This land enters tapped. {T}: Add {B}. {1}{B}{R}{R}, {T}, Sacrifice this land: It deals 3 damage to target player. That player discards a card. Activate only as a sorcery.
Ishgard, the Holy See // Faith & Grief | {'Adventure', 'Town'} | This land enters tapped. {T}: Add {W}. // Return up to two target artifact and/or enchantment cards from your graveyard to your hand. (Then exile this card. You may play the land later from exile.)
Jidoor, Aristocratic Capital // Overture | {'Adventure', 'Town'} | This land enters tapped. {T}: Add {U}. // Target opponent mills half their library, rounded down. (Then exile this card. You may play the land later from exile.)
Keldon Megaliths | [] | This land enters tapped. {T}: Add {R}. Hellbent — {1}{R}, {T}: This land deals 1 damage to any target. Activate only if you have no cards in hand.
Lindblum, Industrial Regency // Mage Siege | {'Adventure', 'Town'} | This land enters tapped. {T}: Add {R}. // Create a 0/1 black Wizard creature token with "Whenever you cast a noncreature spell, this token deals 1 damage to each opponent."
Littjara Mirrorlake | [] | This land enters tapped. {T}: Add {U}. {2}{G}{G}{U}, {T}, Sacrifice this land: Create a token that's a copy of target creature you control, except it enters with an additional +1/+1 counter on it. Activate only as a sorcery.
Llanowar Reborn | [] | This land enters tapped. {T}: Add {G}. Graft 1 (This land enters with a +1/+1 counter on it. Whenever a creature enters, you may move a +1/+1 counter from this land onto it.)
Lonely Sandbar | [] | This land enters tapped. {T}: Add {U}. Cycling {U} ({U}, Discard this card: Draw a card.)
Magosi, the Waterveil | [] | This land enters tapped. {T}: Add {U}. {U}, {T}: Put an eon counter on this land. Skip your next turn. {T}, Remove an eon counter from this land and return it to its owner's hand: Take an extra turn after this one.
Memorial to Folly | [] | This land enters tapped. {T}: Add {B}. {2}{B}, {T}, Sacrifice this land: Return target creature card from your graveyard to your hand.
Memorial to Genius | [] | This land enters tapped. {T}: Add {U}. {4}{U}, {T}, Sacrifice this land: Draw two cards.
Memorial to Glory | [] | This land enters tapped. {T}: Add {W}. {3}{W}, {T}, Sacrifice this land: Create two 1/1 white Soldier creature tokens.
Memorial to Unity | [] | This land enters tapped. {T}: Add {G}. {2}{G}, {T}, Sacrifice this land: Look at the top five cards of your library. You may reveal a creature card from among them and put it into your hand. Then put the rest on the bottom of your library in a random order.
Memorial to War | [] | This land enters tapped. {T}: Add {R}. {4}{R}, {T}, Sacrifice this land: Destroy target land.
Midgar, City of Mako // Reactor Raid | {'Adventure', 'Town'} | This land enters tapped. {T}: Add {B}. // You may sacrifice an artifact or creature. If you do, draw two cards. (Then exile this card. You may play the land later from exile.)
Okina, Temple to the Grandfathers | [] | {T}: Add {G}. {G}, {T}: Target legendary creature gets +1/+1 until end of turn.
Oran-Rief, the Vastwood | [] | This land enters tapped. {T}: Add {G}. {T}: Put a +1/+1 counter on each green creature that entered this turn.
Polluted Mire | [] | This land enters tapped. {T}: Add {B}. Cycling {2} ({2}, Discard this card: Draw a card.)
Port of Karfell | [] | This land enters tapped. {T}: Add {U}. {3}{U}{B}{B}, {T}, Sacrifice this land: Mill four cards, then return a creature card from your graveyard to the battlefield tapped. (To mill a card, put the top card of your library into your graveyard.)
Remote Isle | [] | This land enters tapped. {T}: Add {U}. Cycling {2} ({2}, Discard this card: Draw a card.)
Secluded Steppe | [] | This land enters tapped. {T}: Add {W}. Cycling {W} ({W}, Discard this card: Draw a card.)
Skemfar Elderhall | [] | This land enters tapped. {T}: Add {G}. {2}{B}{B}{G}, {T}, Sacrifice this land: Up to one target creature you don't control gets -2/-2 until end of turn. Create two 1/1 green Elf Warrior creature tokens. Activate only as a sorcery.
Slippery Karst | [] | This land enters tapped. {T}: Add {G}. Cycling {2} ({2}, Discard this card: Draw a card.)
Smoldering Crater | [] | This land enters tapped. {T}: Add {R}. Cycling {2} ({2}, Discard this card: Draw a card.)
Spawning Pool | [] | This land enters tapped. {T}: Add {B}. {1}{B}: This land becomes a 1/1 black Skeleton creature with "{B}: Regenerate this creature" until end of turn. It's still a land. (If it regenerates, the next time it would be destroyed this turn, instead tap it, remove it from combat, and heal all damage on it.)
Surtland Frostpyre | [] | This land enters tapped. {T}: Add {R}. {2}{U}{U}{R}, {T}, Sacrifice this land: Scry 2. This land deals 2 damage to each creature. Activate only as a sorcery.
The Autonomous Furnace | ['Sphere'] | This land enters tapped. {T}: Add {R}. {1}{R}, {T}, Sacrifice this land: Draw a card.
The Dross Pits | ['Sphere'] | This land enters tapped. {T}: Add {B}. {1}{B}, {T}, Sacrifice this land: Draw a card.
The Fair Basilica | ['Sphere'] | This land enters tapped. {T}: Add {W}. {1}{W}, {T}, Sacrifice this land: Draw a card.
The Hunter Maze | ['Sphere'] | This land enters tapped. {T}: Add {G}. {1}{G}, {T}, Sacrifice this land: Draw a card.
The Surgical Bay | ['Sphere'] | This land enters tapped. {T}: Add {U}. {1}{U}, {T}, Sacrifice this land: Draw a card.
Tolaria West | [] | This land enters tapped. {T}: Add {U}. Transmute {1}{U}{U} ({1}{U}{U}, Discard this card: Search your library for a card with mana value 0, reveal it, put it into your hand, then shuffle. Transmute only as a sorcery.)
Tomb Fortress | [] | This land enters tapped. {T}: Add {B}. {2}{B}{B}{B}, {T}, Exile this land: Mill four cards, then return a creature card from your graveyard to the battlefield. Activate only as a sorcery.
Tranquil Thicket | [] | This land enters tapped. {T}: Add {G}. Cycling {G} ({G}, Discard this card: Draw a card.)
Treetop Village | [] | This land enters tapped. {T}: Add {G}. {1}{G}: This land becomes a 3/3 green Ape creature with trample until end of turn. It's still a land. (It can deal excess combat damage to the player or planeswalker it's attacking.)
Zanarkand, Ancient Metropolis // Lasting Fayth | {'Adventure', 'Town'} | This land enters tapped. {T}: Add {G}. // Create a 1/1 colorless Hero creature token. Put a +1/+1 counter on it for each land you control. (Then exile this card. You may play the land later from exile.)

GROUPING Like the above ( .*enters tapped.*\{T\}: Add \{.\}\.(?!.*\bAa?dd\b).* ):
Barad-dûr | [] | Barad-dûr enters tapped unless you control a legendary creature. {T}: Add {B}. {X}{X}{B}, {T}: Amass Orcs X. Activate only if a creature died this turn.
Bojuka Bog | [] | This land enters tapped. When this land enters, exile target player's graveyard. {T}: Add {B}.
Cave of the Frost Dragon | [] | If you control two or more other lands, this land enters tapped. {T}: Add {W}. {4}{W}: This land becomes a 3/4 white Dragon creature with flying until end of turn. It's still a land.
Cori Mountain Monastery | [] | This land enters tapped unless you control a Plains or an Island. {T}: Add {R}. {3}{R}, {T}: Exile the top card of your library. Until the end of your next turn, you may play that card.
Country Roads | [] | This land enters tapped unless you control a Mount or Vehicle. {T}: Add {W}. {1}{W}, {T}, Sacrifice this land: Create a 1/1 colorless Pilot creature token with "This token saddles Mounts and crews Vehicles as though its power were 2 greater." Activate only as a sorcery.
Dalkovan Encampment | [] | This land enters tapped unless you control a Swamp or a Mountain. {T}: Add {W}. {2}{W}, {T}: Whenever you attack this turn, create two 1/1 red Warrior creature tokens that are tapped and attacking. Sacrifice them at the beginning of the next end step.
Den of the Bugbear | [] | If you control two or more other lands, this land enters tapped. {T}: Add {R}. {3}{R}: Until end of turn, this land becomes a 3/2 red Goblin creature with "Whenever this creature attacks, create a 1/1 red Goblin creature token that's tapped and attacking." It's still a land.
Emeria, the Sky Ruin | [] | This land enters tapped. At the beginning of your upkeep, if you control seven or more Plains, you may return target creature card from your graveyard to the battlefield. {T}: Add {W}.
Fertile Thicket | [] | This land enters tapped. When this land enters, you may look at the top five cards of your library. If you do, reveal up to one basic land card from among them, then put that card on top of your library and the rest on the bottom in any order. {T}: Add {G}.
Flamekin Village | [] | As this land enters, you may reveal an Elemental card from your hand. If you don't, this land enters tapped. {T}: Add {R}. {R}, {T}: Target creature gains haste until end of turn.
Forbidding Watchtower | [] | Forbidding Watchtower enters tapped. {T}: Add {W}. {1}{W}: Forbidding Watchtower becomes a 1/5 white Soldier creature until end of turn. It's still a land.
Foul Roads | [] | This land enters tapped unless you control a Mount or Vehicle. {T}: Add {B}. {1}{B}, {T}, Sacrifice this land: Create a 1/1 colorless Pilot creature token with "This token saddles Mounts and crews Vehicles as though its power were 2 greater." Activate only as a sorcery.
Great Arashin City | [] | This land enters tapped unless you control a Forest or a Plains. {T}: Add {B}. {1}{B}, {T}, Exile a creature card from your graveyard: Create a 1/1 white Spirit creature token.
Halimar Depths | [] | This land enters tapped. When this land enters, look at the top three cards of your library, then put them back in any order. {T}: Add {U}.
Hall of Storm Giants | [] | If you control two or more other lands, this land enters tapped. {T}: Add {U}. {5}{U}: Until end of turn, this land becomes a 7/7 blue Giant creature with ward {3}. It's still a land. (Whenever it becomes the target of a spell or ability an opponent controls, counter it unless that player pays {3}.)
Hive of the Eye Tyrant | [] | If you control two or more other lands, this land enters tapped. {T}: Add {B}. {3}{B}: Until end of turn, this land becomes a 3/3 black Beholder creature with menace and "Whenever this creature attacks, exile target card from defending player's graveyard." It's still a land.
Howltooth Hollow | [] | Hideaway 4 (When this land enters, look at the top four cards of your library, exile one face down, then put the rest on the bottom in a random order.) This land enters tapped. {T}: Add {B}. {B}, {T}: You may play the exiled card without paying its mana cost if each player has no cards in hand.
Kabira Crossroads | [] | This land enters tapped. When this land enters, you gain 2 life. {T}: Add {W}.
Khalni Garden | [] | This land enters tapped. When this land enters, create a 0/1 green Plant creature token. {T}: Add {G}.
Kishla Village | [] | This land enters tapped unless you control an Island or a Swamp. {T}: Add {G}. {3}{G}, {T}: Surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)
Lair of the Hydra | [] | If you control two or more other lands, this land enters tapped. {T}: Add {G}. {X}{G}: Until end of turn, this land becomes an X/X green Hydra creature. It's still a land. X can't be 0.
Looming Spires | [] | This land enters tapped. When this land enters, target creature gets +1/+1 and gains first strike until end of turn. {T}: Add {R}.
Minas Morgul, Dark Fortress | [] | Minas Morgul enters tapped. {T}: Add {B}. {3}{B}, {T}: Put a shadow counter on target creature. For as long as that creature has a shadow counter on it, it's a Wraith in addition to its other types. (A creature with shadow can block or be blocked by only creatures with shadow.)
Minas Tirith | [] | Minas Tirith enters tapped unless you control a legendary creature. {T}: Add {W}. {1}{W}, {T}: Draw a card. Activate only if you attacked with two or more creatures this turn.
Mines of Moria | [] | Mines of Moria enters tapped unless you control a legendary creature. {T}: Add {R}. {3}{R}, {T}, Exile three cards from your graveyard: Create two Treasure tokens.
Mistrise Village | [] | This land enters tapped unless you control a Mountain or a Forest. {T}: Add {U}. {U}, {T}: The next spell you cast this turn can't be countered.
Mortuary Mire | [] | This land enters tapped. When this land enters, you may put target creature card from your graveyard on top of your library. {T}: Add {B}.
Mosswort Bridge | [] | Hideaway 4 (When this land enters, look at the top four cards of your library, exile one face down, then put the rest on the bottom in a random order.) This land enters tapped. {T}: Add {G}. {G}, {T}: You may play the exiled card without paying its mana cost if creatures you control have total power 10 or greater.
New Benalia | [] | This land enters tapped. When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.) {T}: Add {W}.
Piranha Marsh | [] | This land enters tapped. When this land enters, target player loses 1 life. {T}: Add {B}.
Reef Roads | [] | This land enters tapped unless you control a Mount or Vehicle. {T}: Add {U}. {1}{U}, {T}, Sacrifice this land: Create a 1/1 colorless Pilot creature token with "This token saddles Mounts and crews Vehicles as though its power were 2 greater." Activate only as a sorcery.
Rivendell | [] | Rivendell enters tapped unless you control a legendary creature. {T}: Add {U}. {1}{U}, {T}: Scry 2. Activate only if you control a legendary creature.
Rocky Roads | [] | This land enters tapped unless you control a Mount or Vehicle. {T}: Add {R}. {1}{R}, {T}, Sacrifice this land: Create a 1/1 colorless Pilot creature token with "This token saddles Mounts and crews Vehicles as though its power were 2 greater." Activate only as a sorcery.
Sandstone Bridge | [] | This land enters tapped. When this land enters, target creature gets +1/+1 and gains vigilance until end of turn. {T}: Add {W}.
Sejiri Steppe | [] | This land enters tapped. When this land enters, target creature you control gains protection from the color of your choice until end of turn. {T}: Add {W}.
Shelldock Isle | [] | Hideaway 4 (When this land enters, look at the top four cards of your library, exile one face down, then put the rest on the bottom in a random order.) This land enters tapped. {T}: Add {U}. {U}, {T}: You may play the exiled card without paying its mana cost if a library has twenty or fewer cards in it.
Skyline Cascade | [] | This land enters tapped. When this land enters, target creature an opponent controls doesn't untap during its controller's next untap step. {T}: Add {U}.
Smoldering Spires | [] | This land enters tapped. When this land enters, target creature can't block this turn. {T}: Add {R}.
Soaring Seacliff | [] | This land enters tapped. When this land enters, target creature gains flying until end of turn. {T}: Add {U}.
Spinerock Knoll | [] | Hideaway 4 (When this land enters, look at the top four cards of your library, exile one face down, then put the rest on the bottom in a random order.) This land enters tapped. {T}: Add {R}. {R}, {T}: You may play the exiled card without paying its mana cost if an opponent was dealt 7 or more damage this turn.
Teetering Peaks | [] | This land enters tapped. When this land enters, target creature gets +2/+0 until end of turn. {T}: Add {R}.
The Black Gate | ['Gate'] | As The Black Gate enters, you may pay 3 life. If you don't, it enters tapped. {T}: Add {B}. {1}{B}, {T}: Choose a player with the most life or tied for most life. Target creature can't be blocked by creatures that player controls this turn.
The Shire | [] | The Shire enters tapped unless you control a legendary creature. {T}: Add {G}. {1}{G}, {T}, Tap an untapped creature you control: Create a Food token.
Turntimber Grove | [] | This land enters tapped. When this land enters, target creature gets +1/+1 until end of turn. {T}: Add {G}.
Valakut, the Molten Pinnacle | [] | This land enters tapped. Whenever a Mountain you control enters, if you control at least five other Mountains, you may have this land deal 3 damage to any target. {T}: Add {R}.
Wild Roads | [] | This land enters tapped unless you control a Mount or Vehicle. {T}: Add {G}. {1}{G}, {T}, Sacrifice this land: Create a 1/1 colorless Pilot creature token with "This token saddles Mounts and crews Vehicles as though its power were 2 greater." Activate only as a sorcery.
Windbrisk Heights | [] | Hideaway 4 (When this land enters, look at the top four cards of your library, exile one face down, then put the rest on the bottom in a random order.) This land enters tapped. {T}: Add {W}. {W}, {T}: You may play the exiled card without paying its mana cost if you attacked with three or more creatures this turn.
GROUPING Utility lands that just add one colorless:
Access Tunnel | [] | {T}: Add {C}. {3}, {T}: Target creature with power 3 or less can't be blocked this turn.
Accursed Duneyard | [] | {T}: Add {C}. {2}, {T}: Regenerate target Shade, Skeleton, Specter, Spirit, Vampire, Wraith, or Zombie. (The next time it would be destroyed this turn, instead tap it, remove it from combat, and heal all damage on it.)
Adventurer's Inn | ['Town'] | When this land enters, you gain 2 life. {T}: Add {C}.
Amonkhet Raceway | [] | Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.) {T}: Add {C}. Max speed — {T}: Target creature gains haste until end of turn.
Animal Sanctuary | [] | {T}: Add {C}. {2}, {T}: Put a +1/+1 counter on target Bird, Cat, Dog, Goat, Ox, or Snake.
Arcane Lighthouse | [] | {T}: Add {C}. {1}, {T}: Until end of turn, creatures your opponents control lose hexproof and shroud and can't have hexproof or shroud.
Arch of Orazca | [] | Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.) {T}: Add {C}. {5}, {T}: Draw a card. Activate only if you have the city's blessing.
Avishkar Raceway | [] | Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.) {T}: Add {C}. Max speed — {3}, {T}, Discard a card: Draw a card.
Basilisk Gate | ['Gate'] | {T}: Add {C}. {2}, {T}: Target creature gets +X/+X until end of turn, where X is the number of Gates you control. Activate only as a sorcery.
Blasted Landscape | [] | {T}: Add {C}. Cycling {2} ({2}, Discard this card: Draw a card.)
Blast Zone | [] | This land enters with a charge counter on it. {T}: Add {C}. {X}{X}, {T}: Put X charge counters on this land. {3}, {T}, Sacrifice this land: Destroy each nonland permanent with mana value equal to the number of charge counters on this land.
Blinkmoth Nexus | [] | {T}: Add {C}. {1}: This land becomes a 1/1 Blinkmoth artifact creature with flying until end of turn. It's still a land. {1}, {T}: Target Blinkmoth creature gets +1/+1 until end of turn.
Blinkmoth Well | [] | {T}: Add {C}. {2}, {T}: Tap target noncreature artifact.
Bonders' Enclave | [] | {T}: Add {C}. {3}, {T}: Draw a card. Activate only if you control a creature with power 4 or greater.
Buried Ruin | [] | {T}: Add {C}. {2}, {T}, Sacrifice this land: Return target artifact card from your graveyard to your hand.
Cathedral of War | [] | This land enters tapped. Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.) {T}: Add {C}.
Cavernous Maw | ['Cave'] | {T}: Add {C}. {2}: This land becomes a 3/3 Elemental creature until end of turn. It's still a Cave land. Activate only if the number of other Caves you control plus the number of Cave cards in your graveyard is three or greater.
City of Shadows | [] | {T}, Exile a creature you control: Put a storage counter on this land. {T}: Add {C} for each storage counter on this land.
Clive's Hideaway | ['Town'] | Hideaway 4 (When this land enters, look at the top four cards of your library, exile one face down, then put the rest on the bottom in a random order.) {T}: Add {C}. {2}, {T}: You may play the exiled card without paying its mana cost if you control four or more legendary creatures.
Cloudpost | ['Locus'] | This land enters tapped. {T}: Add {C} for each Locus on the battlefield.
Command Beacon | [] | {T}: Add {C}. {T}, Sacrifice this land: Put your commander into your hand from the command zone.
Contested War Zone | [] | Whenever a creature deals combat damage to you, that creature's controller gains control of this land. {T}: Add {C}. {1}, {T}: Attacking creatures get +1/+0 until end of turn.
Cradle of the Accursed | ['Desert'] | {T}: Add {C}. {3}, {T}, Sacrifice this land: Create a 2/2 black Zombie creature token. Activate only as a sorcery.
Crawling Barrens | [] | {T}: Add {C}. {4}: Put two +1/+1 counters on this land. Then you may have it become a 0/0 Elemental creature until end of turn. It's still a land.
Cryptic Caves | [] | {T}: Add {C}. {1}, {T}, Sacrifice this land: Draw a card. Activate only if you control five or more lands.
Darksteel Citadel | [] | Indestructible {T}: Add {C}.
Desert | ['Desert'] | {T}: Add {C}. {T}: This land deals 1 damage to target attacking creature. Activate only during the end of combat step.
Detection Tower | [] | {T}: Add {C}. {1}, {T}: Until end of turn, your opponents and creatures your opponents control with hexproof can be the targets of spells and abilities you control as though they didn't have hexproof.
Diamond City | [] | This land enters with a shield counter on it. (If it would be dealt damage or destroyed, remove a shield counter from it instead.) {T}: Add {C}. {T}: Move a shield counter from this land onto target creature. Activate only if two or more creatures entered the battlefield under your control this turn.
Drannith Ruins | [] | {T}: Add {C}. {2}, {T}: Put two +1/+1 counters on target non-Human creature that entered this turn.
Dread Statuary | [] | {T}: Add {C}. {4}: This land becomes a 4/2 Golem artifact creature until end of turn. It's still a land.
Drownyard Temple | [] | {T}: Add {C}. {3}: Return this card from your graveyard to the battlefield tapped.
Dunes of the Dead | ['Desert'] | {T}: Add {C}. When this land is put into a graveyard from the battlefield, create a 2/2 black Zombie creature token.
Dungeon Descent | [] | This land enters tapped. {T}: Add {C}. {4}, {T}, Tap an untapped legendary creature you control: Venture into the dungeon. Activate only as a sorcery. (Enter the first room or advance to the next room.)
Dust Bowl | [] | {T}: Add {C}. {3}, {T}, Sacrifice a land: Destroy target nonbasic land.
Echoing Deeps | ['Cave'] | You may have this land enter tapped as a copy of any land card in a graveyard, except it's a Cave in addition to its other types. {T}: Add {C}.
Eden, Seat of the Sanctum | ['Town'] | {T}: Add {C}. {5}, {T}: Mill two cards. Then you may sacrifice this land. When you do, return another target permanent card from your graveyard to your hand.
Elephant Graveyard | [] | {T}: Add {C}. {T}: Regenerate target Elephant.
Emergence Zone | [] | {T}: Add {C}. {1}, {T}, Sacrifice this land: You may cast spells this turn as though they had flash.
Encroaching Wastes | [] | {T}: Add {C}. {4}, {T}, Sacrifice this land: Destroy target nonbasic land.
Endless Sands | ['Desert'] | {T}: Add {C}. {2}, {T}: Exile target creature you control. {4}, {T}, Sacrifice this land: Return each creature card exiled with this land to the battlefield under its owner's control.
Faceless Haven | [] | {T}: Add {C}. {S}{S}{S}: This land becomes a 4/3 creature with vigilance and all creature types until end of turn. It's still a land. ({S} can be paid with one mana from a snow source.)
Field of Ruin | [] | {T}: Add {C}. {2}, {T}, Sacrifice this land: Destroy target nonbasic land an opponent controls. Each player searches their library for a basic land card, puts it onto the battlefield, then shuffles.
Field of the Dead | [] | This land enters tapped. {T}: Add {C}. Whenever this land or another land you control enters, if you control seven or more lands with different names, create a 2/2 black Zombie creature token.
Fomori Vault | [] | {T}: Add {C}. {3}, {T}, Discard a card: Look at the top X cards of your library, where X is the number of artifacts you control. Put one of those cards into your hand and the rest on the bottom of your library in a random order.
